Supporting Device List 

Device 1 =>   33 46 78 
Device 2 =>   52 92 
Device 3 =>   45 93 99 
Device 4 =>   40 100 
Device 5 =>   41 
Device 6 =>   42 
Device 7 =>   43 
Device 8 =>   68 
Device 9 =>   81 
Device 10 =>   28 42 82 
Device 11 =>   29 83 
Device 12 =>   66 84 
Device 13 =>   67 85 
Device 14 =>   86 
Device 15 =>   55 87 
Device 16 =>   88 
Device 17 =>   62 89 
Device 18 =>   90 
Device 19 =>   51 91 
Device 20 =>   56 68 92 
Device 21 =>   57 93 
Device 22 =>   58 94 
Device 23 =>   59 95 
Device 24 =>   96 
Device 25 =>   97 
Device 26 =>   98 
Device 27 =>   99 
Device 28 =>   10 82 100 
Device 29 =>   11 61 83 
Device 30 =>   
Device 31 =>   
Device 32 =>   
Device 33 =>   1 
Device 34 =>   76 
Device 35 =>   77 
Device 36 =>   72 84 
Device 37 =>   69 73 85 
Device 38 =>   70 74 86 
Device 39 =>   75 87 
Device 40 =>   4 88 
Device 41 =>   5 89 
Device 42 =>   6 10 60 82 
Device 43 =>   7 61 83 
Device 44 =>   98 
Device 45 =>   3 93 99 
Device 46 =>   1 78 94 
Device 47 =>   79 95 
Device 48 =>   72 96 
Device 49 =>   94 97 
Device 50 =>   98 
Device 51 =>   19 91 
Device 52 =>   2 56 92 
Device 53 =>   
Device 54 =>   90 
Device 55 =>   15 91 
Device 56 =>   20 52 
Device 57 =>   21 
Device 58 =>   22 
Device 59 =>   23 
Device 60 =>   42 66 
Device 61 =>   29 43 67 
Device 62 =>   17 
Device 63 =>   
Device 64 =>   
Device 65 =>   
Device 66 =>   12 60 
Device 67 =>   13 61 
Device 68 =>   8 20 
Device 69 =>   37 
Device 70 =>   38 
Device 71 =>   
Device 72 =>   36 48 84 
Device 73 =>   37 85 
Device 74 =>   38 86 
Device 75 =>   39 87 
Device 76 =>   34 88 
Device 77 =>   35 89 
Device 78 =>   1 46 
Device 79 =>   47 
Device 80 =>   
Device 81 =>   9 
Device 82 =>   10 28 42 
Device 83 =>   11 29 43 
Device 84 =>   12 36 72 
Device 85 =>   13 37 73 
Device 86 =>   14 38 74 
Device 87 =>   15 39 75 
Device 88 =>   16 40 76 
Device 89 =>   17 41 77 
Device 90 =>   18 54 
Device 91 =>   19 51 55 
Device 92 =>   2 20 52 
Device 93 =>   3 21 45 99 
Device 94 =>   22 46 49 
Device 95 =>   23 47 
Device 96 =>   24 48 
Device 97 =>   25 49 
Device 98 =>   26 44 50 
Device 99 =>   3 27 45 93 
Device 100 =>   4 28 
